eng,hindi
I was surprised at the news of his sudden death.,मैं उसकी अचानक मौत की खबर से चौंक गया।
I know Tom is sleepy.,मुझे पता है कि टॉम को नीन्द आ रही है।
May I leave this book with you?,मैं यह किताब तुम्हारे पास छोड़ूँ?
Do you have these shoes in my size?,क्या ये जूते मेरे नाप में भी हैं?
How about the taste?,और स्वाद कैसा है?
It's already eleven o'clock. I must be leaving now.,ग्यारह बज चुके हैं। मुझे चलना चाहिए।
A man appeared at the door.,दरवाज़े पर एक आदमी दिखाई दिया।
Who's that?,वह कौन है?
To distinguish right from wrong is difficult.,सही और ग़लत में अंतर करना मुश्किल होता है।
I run every day.,मैं रोज़ दौड़ने जाता हूँ।
He used to tell me stories about India.,वह मुझे भारत के बारे में कहानियाँ सुनाया करता था।
Are you going to ask me or not?,मुझसे पूछने वाले हो या नहीं?
Let's go!,चलो चलें!
He ordered them to release the prisoners.,उसने उनको क़ैदियों को छोड़ने का आदेश दिया।
It won't take long to do the job.,इस काम को करने में ज़्यादा देर नहीं लगेगी।
"Last night you forgot to turn off the radio, didn't you?",तुम कल रात रेडियो को बंद करना भूल गए थे ना?
Toudaiji is the bigger of the two temples.,उन दो मंदिरों में तोदाइजी बड़ा वाला है।
I have no idea to what extent I can trust them.,मुझे नहीं पता मैं उनपर कितना भरोसा कर सकता हूँ।
He was then a boy of ten.,वह दस साल का लड़का था।
He stuck the broken pieces together.,उसने टूटे हुए टुकड़ों को वापस जोड़ा।
I don't know if she will go there with me.,मुझे नहीं पता वह मेरे साथ वहाँ जाएगी कि नहीं।
The store is not open today.,दुकान आज खुली नहीं है।
My father is my biggest source of inspiration.,मेरे पिताजी मेरे सबसे बड़े प्रेरणा के स्रोत हैं।
He wouldn't allow me to drive his car.,उसने मुझे उसकी गाड़ी नहीं चलाने दी।
"He is poor, but happy.","वह गरीब है, पर खुश है।"
His absence was due to illness.,वह बीमारी की वजह से नहीं आ सका।
I don't think it's reasonable.,मेरे विचार से यह युक्तियुक्त नहीँ है।
The rain prevented me from coming.,मैं बारिश की वजह से आ नहीं पाया।
Were you told to do so?,तुम्हें यह करने के लिए बताया गया था?
I answered all Tom's questions.,मैं ने टॉम के सभी सवालों का जवाब दिया।
We should observe the speed limit.,हमे गति सीमा का पालन करना चाहिए।
I love you.,मैं तुमसे प्यार करता हूँ।
That was cooked in oil.,वह तेल में पका हुआ है।
The water pipe burst.,पानी का पाइप फट गया।
The storm destroyed the whole town.,तूफ़ान ने पूरे नगर को नष्ट कर दिया।
"From my point of view, Australia is one of the best countries in the world.",मेरे नज़रिए से ऑस्ट्रेलिया विश्व के सर्व-श्रेष्ठ देशों में से एक है।
I have little money now.,अब मेरे पास बहुत थोड़े पैसे हैं।
I've read this book three times.,मैंने इस पुस्तक को तीन बार पढ़ा है।
"London, the capital of England, is on the Thames.",इंग्लैंड की राजधानी लंदन थेम्स नदी के किनारे है।
This river is one mile across.,यह नदी एक मील चौड़ी है।
We took it for granted that he would join us.,हमने मान लिया था कि वह हमारे साथ आएगा।
I need to go get some eggs.,मुझे कुछ अंडे खरीदने जाना है।
He knows us very well.,वह हमको अच्छी तरह से जानता है।
Put it where you like.,जहाँ भी घुसाना है घुसा दो।
The president suddenly resigned.,राष्ट्रपति ने अचानक से इसतीफ़ा दे दिया।
Tom is by far the smartest person here.,टॉम यहाँ का अब तक का सबसे समझदार व्यक्ति है।
Why are you stuttering?,हकला क्यों रहे हो?
Someone has cut my kite string.,किसी ने मेरी पतंग काट ली है।
I have no place to sleep tonight.,मेरे पास आज रात सोने के लिए जगह नहीं है।
Parents are responsible for the safety of their children.,मातापिता अपने बच्चों की सुरक्षा के लिए ज़िम्मेदार होते हैं।
Don't throw stones.,पत्थर मत फेंको।
Which dog is yours?,तुम्हारा कुत्ता कौनसा है?
This car was made in Japan.,यह गाड़ी जापान में बनी थी।
"To make matters worse, he fell ill.",और-तो-और वह बीमार भी पड़ गया।
I don't think I shall get through all this work this afternoon.,मुझे नहीं लगता मैं इतना सारा काम इस दोपहर को खतम कर पाऊँगा।
Is it not black?,क्या यह काला नहीं है?
He won the race again.,उसने प्रतियोगिता फिरसे जीत ली।
Don't be disappointed.,निराश मत हो।
I will get through with my homework before he comes.,मैं उसके आने से पहले अपना होमवर्क खतम कर लूँगा।
You don't look too confident.,आप बहुत आत्मविश्वासी नहीं लग रहे हैं।
It seems that everybody likes golf.,ऐसा लगता है जैसे कि सभी लोगों को गौल्फ़ अच्छा लगता है।
He occasionally visited me.,वह कभी-कभार मुझसे मिलने आता था।
The lake is deep here.,झील यहाँ पर बहुत गहरी है।
There is a bag on the desk.,मेज़ पर बस्ता रखा हुआ है।
I actually have to do that.,मुझे वास्तव में ऐसा करना है।
Tom and Mary look worried.,टॉम और मैरी परेशान लग रहे हैं।
The man lost all hope.,उस आदमी ने सारी उम्मीद छोड़दी।
The work must be completed by tomorrow.,काम कल तक खतम होना होगा।
It is said that women live longer than men.,कहा जाता है कि औरतों की उम्र आदमियों से ज़्यादा लम्बी होती है।
Let's play baseball!,चलो बेसबॉल खेलतें हैं।
You may be right.,तुम शायद सही हो।
Both he and his wife have cars.,वह और उसकी पत्नी दोनो के पास गाड़ियाँ हैं।
Would you mind if I smoke?,मेरे सिगरेट पीने पर आपको आपत्ति तो नहीं होगी?
I understand.,मैं समझता हूँ।
How many books do you read a month?,तुम एक महीने में कितनी किताबें पढ़ते हो?
Got it?,समझे कि नहीं?
My car is not running.,मेरी गाड़ी चल नहीं रही है।
He has been to London three times.,वह लंदन तीन बार जा चुका है।
You are always complaining.,तुम हमेशा शिकायत करते रहते हो।
Can you teach me how to fly?,क्या तुम मुझे उड़ना सिखा सकते हो?
What did you do with my baggage?,तुमने मेरे सामान के साथ क्या किया?
They resolved to work harder.,उन्होंने ज़्यादा मेहनत से काम करने का इरादा किया।
You can't prove that.,तुम वह साबित नहीं कर सकते।
Tom wants to do that alone.,टॉम वह अकेले करना चाहता है।
I have seen angels and talked with them.,"मैंने फ़रिश्तों को देखा है, उनसे बातचीत भी की है।"
No one can help me.,कोई मेरी मदद नहीं कर सकता।
He lent me two books.,उसने मुझे दो किताबें उधार दीं।
Whose turn is it?,किसकी बारी है?
Can anyone believe you?,क्या कोई तुम्हारा यकीन कर सकता है?
He is accustomed to hard work.,उसे मेहनत करने की आदत है।
Don't give in.,हार मत मान लो।
This river is beautiful.,यह नदी बहुत सुन्दर है।
He went to New York on Monday.,वह सोमवार को न्यूयॉर्क चला गया।
It is no use asking me for money.,मुझसे पैसे माँगने में कोई फ़ायदा नहीं है।
The apple has begun to decay.,वह सेव सड़ने लगा है।
We lost.,हम हार गए।
We'll cross the river in a boat.,हम नाव में नदी को पार करेंगे।
She didn't give me my money back.,उसने मुझे मेरे पैसे नहीं लौटाए।
The museum is open from Monday to Friday.,म्युज़ियम सोमवार से शुक्रवार तक खुला रहता है।
"As the saying goes, ""Nothing ventured, nothing gained.""","एक कहावत है, ""कुछ पाने के लिए कुछ खोना पड़ता है""।"
This cloth is really smooth and silky.,यह कपड़ा बहुत रेशमी है।
Do you think that fish can hear?,क्या तुम्हें लगता है कि मछलियाँ सुन सकतीं हैं?
It's easy to add 5 to 10.,पाँच से दस को जोड़ना बहुत आसान है।
"She is poor, but happy.","वह गरीब है, पर खुश है।"
Go away!,चले जाओ!
They brought trouble on themselves.,उन्होंने अपने ऊपर मुसीबत बुलाई।
She has not come here yet.,वह अभी तक यहाँ नहीं आई है।
I can't let you leave.,आपको जाने नहीं दे सकता हूँ।
Mary is interested in politics.,मेरी को राजनीति में दिलचस्पी है।
I followed the deer's tracks.,मैंने हिरण के पैरों के निशानों का पीछा किया।
I want to travel with you.,मैं तुम्हारे साथ सफ़र करना चाहता हूँ।
He began to shout.,वह चिल्लाने लगा।
I go to school by subway.,मैं मेट्रो लेकर स्कूल जाती हूँ।
We're against war.,हम युद्ध का विरोध करते हैं।
Someone knocked on the door.,किसी ने दरवाज़े पर खटखटाया।
How many bowls do we have?,हमारे पास कितनी कटोरियाँ हैं?
Whoever comes first will get the best seats.,जो भी पहले आएँगे उन्हें सबसे अच्छी सीटें मिलेंगीं।
I am counting on you.,मैं तुमपर भरोसा कर रहा हूँ।
There's a cat under the desk.,मेज़ के नीचे एक बिल्ली है।
The house was ablaze.,घर आग में लिपटा हुआ था।
Is Tom going to the supermarket?,क्या टॉम बड़े बाज़ार में जा रहा है?
He wants these shirts washed.,उसे ये कमीज़ें धुलवानीं हैं।
Open the door.,दरवाज़ा खोलो।
Father sometimes took me to his office.,पापा कभी-कभी मुझे दफ़्तर ले जाया करते थे।
"I was born on June 4, 1974.","मैं ४ जून, १९७४ को पैदा हुआ था।"
I cover twenty miles a day.,मैं रोज़ बीस मील चलता हूँ।
I'm willing to help you if you want me to.,"अगर तुम मदद चाह्ते हो, तो मैं मदद करने के लिए तैयार हूँ।"
He was arrested because he stole the money.,उसे पैसे चुराने के लिए हिरासत में ले लिया गया।
I want to know about this mountain.,मुझे इस पहाड़ के बारे में जानना है।
Do you jog every day?,क्या आप प्रत्येक दिन जॉगिंग करते हैं?
Tom never denied that he killed Mary.,टॉम ने इस बात से कभी इनकार नहीं किया कि उसने मैरी को मार डाला।
Nobody could tell what he meant by that.,कोई नहीं बता सका उसका वह कहने से मतलब क्या था।
Try to do it like that.,वैसे करने की कोशिश कीजिये।
I'm not very old.,मैं बहुत बूढ़ा नहीं हूँ ।
It's snowing.,बरफ़ गिर रही है।
She thought for a few minutes.,उसने कुछ मिनटों के लिए सोचा।
I have to go now.,मुझे अभी जाना है।
He cried and cried.,वह रोया और और रोया।
"She is poor, but she looks happy.","वह गरीब है, पर दिखने से खुश लगती है।"
Yes. That's right.,हाँ। यह सही है।
This desk is made of wood.,यह मेज़ लकड़ी की बनी है।
I bought two dozen pencils.,मैंने दो दर्जन पेनसिलें खरीदीं।
This is your dog.,यह तुम्हारा कुत्ता है।
"Well, what're you waiting for?","खैर, आप किसका इंतज़ार कर रहे हैं?"
This train is bound for Boston.,यह ट्रेन बॉस्टन के लिए रवाना हो रही है।
The train ran off the tracks.,ट्रेन पटरी से उतर गई।
There are no towels in room 15.,कमरा नम्बर पंद्राह में तौलिये नहीं हैं।
Where do you live?,आप कहाँ रहते हैं?
Tom couldn't help but cry.,टॉम रो पड़ा।
They must have made a mistake.,उनसे ग़लती हो गई होगी।
I'm alone.,मैं अकेली हूँ ।
He left all his property to his wife in his will.,उसने वसीयत में अपनी पत्नी को सारी जायदाद छोड़ दी।
Are you interested in flowers?,तुम्हें फूलों में दिलचस्पी है क्या?
"Mary resembles her mother in appearance, but not in character.",मेरी दिखने में तो अपनी माँ की तरह है पर चरित्र में अलग है।
The majority of the committee voted against the bill.,समिति के अधिकांश सदस्यों ने बिल के पारित होने के खिलाफ़ मत दिया।
How do you like your eggs done?,तुम्हें अपने अँडे कैसे पसंद हैं?
Father kept in touch with us by mail and telephone while he was overseas.,"जब पिताजी विदेश में थे, वे हमारे साथ चिट्ठी और फ़ोन से सम्पर्क करते थे।"
It's almost ten o'clock.,दस बजने वाले हैं।
I am confident he will keep his promise.,मुझे भरोसा है कि वह अपना वादा निभाएगा।
What's that bird?,वह कौनसी चिड़िया है?
The Qutub Minar and Red Fort are in Delhi.,क़ुतुब मीनार और लाल किला दिल्ली में हैं।
What have you come here for?,आप लोग यहाँ क्या करने के लिए आए हैं?
How many sandwiches are there left?,कितने सैंडविच बचे हैं?
I can't put up with this cold.,मुझसे यह ठंड सही नहीं जाएगी।
We investigated the matter from all angles.,हमने मामले की हर पहलू से छानबीन करी।
You're wearing your shirt inside out.,तुमने अपनी कमीज़ उलटी पहनी हुई है।
They consider him intelligent.,वे उसे समझदार मानते हैं।
"He had nothing to say, so he went away.","उसके पास कुछ भी कहने को नहीं था, तो वह चला गया।"
He entered the room.,उसने कमरे में प्रवेश किया।
The doctor felt my pulse.,डॉक्टर ने मेरी नब्ज़ ली।
He lost his balance and fell off his bicycle.,उसने अपना संतुलन खो दिया और वह अपनी साईकल पर से गिर गया।
I want to see the manager.,मैं मैनेजर से मिलना चाह्ती हूँ।
She can play the piano.,वह पियानो बजाना जानती है।
I have a few friends.,मेरे पास कुछ दोस्त हैं।
Do you want to watch this program?,तुम यह कार्यक्रम देखना चाहते हो क्या?
Don't do anything you'll regret later.,ऐसा कुछ ना करें जिससे बाद में आपको पछतावा हो ।
Who is the author of the novel?,इस उपन्यास का लेखक कौन है?
I am married and have two children.,मैं शादीशुदा हूँ और मेरे दो बच्चे हैं।
He never takes into account the fact that I am very busy.,वह कभी भी इस बात का खयाल नहीं करता है कि मैं कितना व्यस्त हूँ।
"You quit your job, didn't you?","तुमने अपनी नौकरी छोड़ दी, है ना?"
I thought that he had already finished the work.,मुझे लगा कि वह काम खतम कर चुका था।
There is no longer any room for doubt.,शक की कोई गुंजाईश नहीं रही है।
He is her friend.,वह उसका दोस्त है।
Tom and I'll both be there.,टॉम और मैं दोनों वहाँ रहेंगे।
I love you.,मुझे तुमसे प्यार है।
My jeans shrank in the wash.,मेरी जीन्स पैंट धुलाई में सिकुड़ गई।
One language is never enough.,एक भाषा कभी काफ़ी नहीं होती।
We have to go back soon.,हमें जल्द ही वापिस जाना है ।
What are you going to do in college?,तुम कॉलेज जाकर क्या करोगे?
That isn't fair.,यह तो ठीक नहीं है।
"Tom, I want to talk to you.","टॉम, मुझे तुमसे बात करनी है।"
I can't walk any further.,मैं और नहीं चल सकती।
Please make yourself at home.,इसको अपना घर ही समझिए।
I cried all night.,मैं पूरी रात रोई।
Is it hard to speak English?,अंग्रेज़ी बोलना मुश्किल होता है क्या?
"I tried to give her some money, but she wouldn't take any.",मैंने उसको पैसे देने की कोशिश करी पर उसने इनकार कर दिया।
I wish I could help you.,काश मैं तुम्हारी मदद कर सकता।
God helps those who help themselves.,ईश्वर उनकी मदद करता है जो स्वयं की मदद करते हैं।
A man like that gets on my nerves.,उस तरह का आदमी मुझसे झिलता नहीं है।
Are you sure of her coming on time?,तुम्हें पक्का मालूम है कि वह समय पर आ रही है?
These shoes are hers.,यह जूते उसके हैं।
He employs a maid.,वह नौकरानी रखता है।
We are disturbing him.,हम उनको परेशान कर रहें हैं।
I am going to stay here for a couple of days.,मैं यहाँ एक-दो दिन रहूँगा।
Let me try it.,मुझे दिखाओ।
He reads Arabic.,वह अरबी पढ़ सकता है।
We hurried to the train station.,हम जल्दबाज़ी में ट्रेन स्टेशन गए।
I didn't want this to happen.,मैं नहीं चाहता था कि ऐसा हो।
A madman is not accountable for his actions.,एक पागल इनसान को अपने किये-धरे के लिए ज़िम्मेदार नहीं ठहराया जा सकता।
Do you know how to use a computer?,क्या आपको कम्प्यूटर का इस्तेमाल करना आता है?
The war is going in our favor.,जंग हमारे हित में जा रहा है।
Please get in.,कृपया अंदर आईए।
That's Tom's house with the red roof.,लाल छत वाला वह टॉम का घर है।
I am not sure how to pronounce the word.,मुझे ठीक से नहीं पता इस शब्द को कैसे पढ़ा जाता है।
Whoever wins the race will receive the prize.,जो भी रेस जीतेगा ईनाम उसी का होगा।
Can you drive a car?,तुम गाड़ी चला सकते हो क्या?
He broke himself of the bad habit of smoking.,उसने अपनी सिगरेट पीने की बुरी आदत छोड़ दी।
How long have you been abroad?,आप विदेश में कबसे हैं?
Each of them has a bicycle.,उन सभी के पास साईकल है।
He decided to quit smoking.,उसने सिगरेट पीना छोड़ने का फ़ैसला किया।
He witnessed the accident.,वह उस दुर्घटना का चश्मदीद गवाह था।
"She said to herself, ""I am very happy.""","उसने अपने आप से कहा: ""मैं बहुत खुश हूँ"""
It's been pouring here for the last few days.,यहाँ पिछले कुछ दिनों से दबाकर बारिश हो रही है।
I can't put up with that noise any longer.,मैं इस शोर को और बर्दाश्त नहीं कर सकता।
This is the monsoon season.,यह वर्षा ऋतु का मौसम है।
It was sort of fun.,वो मजेदार था I
Two plus two makes four.,दो और दो चार होते हैं।
Can you drive a car?,तुम्हें गाड़ी चलाना आता है क्या?
George Washington was the first president of the Unites States of America.,जार्ज वाशिंगटन संयुक्त राज्य अमेरिका के पहले राष्ट्रपति थे
Didn't I tell you so?,मैंने तुम्हें बताया नहीं था?
My right foot is sleeping.,मेरा दाहिना पैर सो गया है।
We'll call you.,हम आपको फ़ोन करेंगे।
What time do you get up every day?,आप रोज़ कितने बजे उठते हैं?
Smog causes plants to die.,स्मॉग से पेड़-पौधों की मौत होती है।
He left a large fortune to his son.,उसने अपने बेटे के लिए बड़ी जायदाद छोड़ी।
The gentleman is a very famous pianist.,यह महाशय बहुत जाने-माने पियानिस्ट हैं।
